output_dir=/data/uav_project/ParallelCBF/runs/v25_ppo_20260502T090342Z
tb_logdir=/data/uav_project/ParallelCBF/runs/v25_ppo_20260502T090342Z/tb
pre_registration_manifest_sha256=28b31405161bd333c9d7e7524717935bf819b97700cb1e8965214a0255a7678e
bc_checkpoint_sha256=40c70226bbae24e2bce4c00878fd31173337fb4e411b7f45107a71198f5719e0
bc_dataset_sha256=50e59d2f7886dcc00f3c2405ae449cdbaa879b1b5be79b7dcd2993ce65bb5145
============================================================
WATCHDOG REGISTRY (V25 PPO training):
  - Train Loss Explosion: metric=train_loss, threshold=1000000.0, when=>
  - Grad Norm Blowup: metric=grad_norm, threshold=10000.0, when=>
  - Val Overfit: metric=val_overfit_ratio, threshold=5.0, when=>
============================================================
[INFO][V25] phase=0 (CRITIC_WARMUP) entered cleanly
loaded_actor_parameters=3167235
[INFO][V25] algo.learn entry reached
wandb: WARNING The anonymous setting has no effect and will be removed in a future version.
wandb: Tracking run with wandb version 0.26.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data/uav_project/ParallelCBF/runs/v25_ppo_20260502T090342Z/wandb/wandb/offline-run-20260502_170345-ko56w3hs
wandb: WARNING URL not available in offline run
wandb_status=initialized mode=offline url=unavailable
[V25 PPO] phase=0 rollout/transitions=167936 safety/h_hard_min=4.47275 train/value_loss=1322.76 train/grad_norm=391.845
[V25 PPO] phase=0 rollout/transitions=172032 safety/h_hard_min=4.47294 train/value_loss=1328.03 train/grad_norm=394.741
[V25 PPO] phase=0 rollout/transitions=176128 safety/h_hard_min=4.47363 train/value_loss=1304.81 train/grad_norm=389.486
[V25 PPO] phase=0 rollout/transitions=180224 safety/h_hard_min=4.47172 train/value_loss=1291.76 train/grad_norm=392.056
[V25 PPO] phase=0 rollout/transitions=184320 safety/h_hard_min=4.46962 train/value_loss=1217.31 train/grad_norm=374.505
[V25 PPO] phase=0 rollout/transitions=188416 safety/h_hard_min=4.47167 train/value_loss=1450.09 train/grad_norm=419.767
[V25 PPO] phase=0 rollout/transitions=192512 safety/h_hard_min=4.47021 train/value_loss=1406.3 train/grad_norm=404.748
[V25 PPO] phase=0 rollout/transitions=196608 safety/h_hard_min=4.47201 train/value_loss=1270.49 train/grad_norm=388.358
[V25 PPO] phase=0 rollout/transitions=200704 safety/h_hard_min=4.4725 train/value_loss=1353.04 train/grad_norm=390.181
[V25 PPO] phase=0 rollout/transitions=204800 safety/h_hard_min=4.46976 train/value_loss=1277.93 train/grad_norm=381.597
[V25 PPO] phase=0 rollout/transitions=208896 safety/h_hard_min=4.47291 train/value_loss=1238.03 train/grad_norm=375.253
[V25 PPO] phase=0 rollout/transitions=212992 safety/h_hard_min=4.47372 train/value_loss=1303.24 train/grad_norm=392.846
[V25 PPO] phase=0 rollout/transitions=217088 safety/h_hard_min=4.47286 train/value_loss=1113.66 train/grad_norm=347.288
[V25 PPO] phase=0 rollout/transitions=221184 safety/h_hard_min=4.4733 train/value_loss=1205.04 train/grad_norm=365.573
[V25 PPO] phase=0 rollout/transitions=225280 safety/h_hard_min=4.47316 train/value_loss=1317.04 train/grad_norm=399.639
[V25 PPO] phase=0 rollout/transitions=229376 safety/h_hard_min=4.47325 train/value_loss=1334.95 train/grad_norm=395.019
[V25 PPO] phase=0 rollout/transitions=233472 safety/h_hard_min=4.46996 train/value_loss=1249.16 train/grad_norm=379.874
[V25 PPO] phase=0 rollout/transitions=237568 safety/h_hard_min=4.47038 train/value_loss=1175.96 train/grad_norm=361.874
[V25 PPO] phase=0 rollout/transitions=241664 safety/h_hard_min=4.47043 train/value_loss=1173.24 train/grad_norm=364.86
[V25 PPO] phase=0 rollout/transitions=245760 safety/h_hard_min=4.47167 train/value_loss=1167.03 train/grad_norm=367.398
[V25 PPO] phase=0 rollout/transitions=249856 safety/h_hard_min=4.47174 train/value_loss=1251.48 train/grad_norm=378.597
[V25 PPO] phase=0 rollout/transitions=253952 safety/h_hard_min=4.47221 train/value_loss=1084.7 train/grad_norm=346.175
[V25 PPO] phase=0 rollout/transitions=258048 safety/h_hard_min=4.47301 train/value_loss=1171 train/grad_norm=364.672
[V25 PPO] phase=0 rollout/transitions=262144 safety/h_hard_min=4.47088 train/value_loss=1216.54 train/grad_norm=370.403
[V25 PPO] phase=0 rollout/transitions=266240 safety/h_hard_min=4.47169 train/value_loss=1147.26 train/grad_norm=357.817
[V25 PPO] phase=0 rollout/transitions=270336 safety/h_hard_min=4.47269 train/value_loss=956.5 train/grad_norm=329.675
[V25 PPO] phase=0 rollout/transitions=274432 safety/h_hard_min=4.47164 train/value_loss=1222.43 train/grad_norm=370.744
[V25 PPO] phase=0 rollout/transitions=278528 safety/h_hard_min=4.47175 train/value_loss=1096.64 train/grad_norm=348.757
[V25 PPO] phase=0 rollout/transitions=282624 safety/h_hard_min=4.47375 train/value_loss=1148.79 train/grad_norm=361.389
